experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_regular,D_exception,D_exception_detection_f1,D_root_cause_macro_jaccard,D_exception_disposition_accuracy,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
C,C-50-POW-GEN-R1,generic_tool_agent,POWER,B0,50,1,0.14075419694312202,0.28150839388624405,0.0,0.05839416058394161,0.08333333333333333,0.976,3093,9019,232,0.11746242109301433,3368,28673,3640,,,308,3.7697238664773245,pass,[],[]
C,C-75-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,75,1,0.4488868610857636,0.8977737221715272,0.0,0.5393258426966292,0.0,0.37435897435897436,73008,81645,2819,0.9311718820979402,71744,77047,7618,,,3027,0.0008178280340261489,not_applicable,[],[]
C,C-75-IND-FULL-R1,full,INDUSTRIAL,B0,75,1,1.0,1.0,1.0,1.0,1.0,1.0,81573,81573,2819,1.0,82679,82679,1980,,,3027,0.025152501348866967,pass,[],[]
C,C-75-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,75,1,0.3079225990324879,0.6158451980649758,0.0,0.04926108374384236,0.0,0.49230769230769234,50180,81581,2819,0.8364472457150207,78033,93291,4146,,,3027,0.37618144553188626,fail,"[""GENERIC_ACCESSED_PATH_OUTSIDE_RUN_PACKAGE""]",[]
C,C-75-POW-DET-R1,deterministic_program,POWER,B0,75,1,0.4380842087848457,0.8761684175696914,0.0,0.8670520231213873,0.0,0.47692307692307695,11824,13835,359,0.8861029907803013,7881,8894,4070,,,470,0.0043222537233266346,not_applicable,[],[]
C,C-75-POW-FULL-R1,full,POWER,B0,75,1,1.0,1.0,1.0,1.0,1.0,1.0,13684,13684,359,1.0,9623,9623,3342,,,470,0.13463294175540177,pass,[],[]
C,C-75-POW-GEN-R1,generic_tool_agent,POWER,B0,75,1,0.22571828383930292,0.36810323434527253,0.08333333333333333,0.7425968109339407,0.1523517382413088,0.8307692307692308,5764,13905,359,0.18759569510706756,8454,45065,3646,,,470,2.430110282004325,pass,[],[]
C,C-100-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,100,1,0.22643846855755456,0.44898588653145155,0.0038910505836575876,0.030651340996168584,0.25,0.19066147859922178,49147,109070,3775,0.434284852838153,48973,112767,11898,,,4046,0.28216062670958747,pass,[],[]
C,C-100-IND-FULL-R1,full,INDUSTRIAL,B0,100,1,1.0,1.0,1.0,1.0,1.0,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.022750444904342547,pass,[],[]
C,C-100-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,100,1,0.44919618655949156,0.8983923731189831,0.0,0.552112676056338,0.0,0.3852140077821012,97672,109165,3775,0.9315462036434928,95980,103033,10138,,,4046,0.0021242766104723975,not_applicable,[],[]
C,C-100-POW-GEN-R1,generic_tool_agent,POWER,B0,100,1,0.2943826693122445,0.5849485447313593,0.003816793893129771,0.022641509433962263,0.5,0.4573643410852713,10875,17979,464,0.6070166136443973,6869,11316,5624,,,615,2.557852600000011,pass,[],[]
C,C-100-POW-FULL-R1,full,POWER,B0,100,1,1.0,1.0,1.0,1.0,1.0,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.0959635260846178,pass,[],[]
C,C-100-POW-DET-R1,deterministic_program,POWER,B0,100,1,0.4386324894248374,0.8772649788496748,0.0,0.8695652173913044,0.0,0.46511627906976744,15535,18176,464,0.8857808857808858,10260,11583,5378,,,615,0.01299827411871146,not_applicable,[],[]
C,C-25-IND-FULL-R2,full,INDUSTRIAL,B0,25,2,1.0,1.0,1.0,1.0,1.0,1.0,27349,27349,958,1.0,27751,27751,610,,,1014,0.05937508308677475,pass,[],[]
