experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
A,A-POW-GEN-R3,generic_tool_agent,POWER,B0,100,3,0.0,0,17974,464,0.0,0,5535,11070,0.3032006695048667,9.096020085146,615,1.4800361261528925,pass,[],[]
A,A-POW-DET-R3,deterministic_program,POWER,B0,100,3,0.8546985035211268,15535,18176,464,0.8857808857808858,10260,11583,5378,1.0,90.91677862557044,615,0.013215303455282578,not_applicable,[],[]
A,A-POW-FULL-R3,full,POWER,B0,100,3,1.0,17974,17974,464,1.0,12532,12532,4430,0.6770578800592322,90.31173640177697,615,0.1178733090113856,pass,[],[]
A,A-IND-HUM,expert_led,INDUSTRIAL,B0,100,,0.9303319093000328,39634,42602,70240,0.7247879236655105,55792,76977,38720,0.0,57.929194153794015,4046,11.52,not_applicable,[],[]
A,A-POW-HUM,expert_led,POWER,B0,100,,0.6828275978979488,8056,11798,6640,0.3789376158122298,3681,9714,8487,0.0,37.16178247985625,615,11.52,not_applicable,[],[]
B,B-B0-IND-GEN,generic_tool_agent,INDUSTRIAL,B0,100,1,0.5920051343174109,64570,109070,3775,0.8438827923316449,95125,112723,11904,,,4046,0.30409634157191945,pass,[],[]
B,B-B0-IND-FULL,full,INDUSTRIAL,B0,100,1,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.025621462967366466,pass,[],[]
B,B-B0-IND-DET,deterministic_program,INDUSTRIAL,B0,100,1,0.8947190033435625,97672,109165,3775,0.9315462036434928,95980,103033,10138,,,4046,0.0021828606853670626,not_applicable,[],[]
B,B-B0-IND-HUM,expert_led,INDUSTRIAL,B0,100,,0.9303319093000328,39634,42602,70240,0.7247879236655105,55792,76977,38720,,,4046,11.52,not_applicable,[],[]
B,B-B0-POW-DET,deterministic_program,POWER,B0,100,1,0.8546985035211268,15535,18176,464,0.8857808857808858,10260,11583,5378,,,615,0.013267761247130338,not_applicable,[],[]
B,B-B0-POW-FULL,full,POWER,B0,100,1,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.138072998034181,pass,[],"[""NONEXISTENT_TOOL_CALL_NOT_EXECUTED""]"
B,B-B0-POW-GEN,generic_tool_agent,POWER,B0,100,1,0.311359590565198,5597,17976,464,0.6841798985784354,8230,12029,6748,,,615,1.8972378014910558,pass,[],[]
B,B-B0-POW-HUM,expert_led,POWER,B0,100,,0.6828275978979488,8056,11798,6640,0.3789376158122298,3681,9714,8487,,,615,11.52,not_applicable,[],[]
B,B-S1-IND-GEN,generic_tool_agent,INDUSTRIAL,S1,100,1,0.5855284269590809,63863,109069,3775,0.79106827010147,93475,118163,11994,,,4046,0.31934963725481363,pass,[],[]
B,B-S1-IND-FULL,full,INDUSTRIAL,S1,100,1,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.030931045878645185,pass,[],[]
B,B-S1-IND-DET,deterministic_program,INDUSTRIAL,S1,100,1,0.0,0,113113,3775,0.0,0,36414,72828,,,4046,0.00014419374073999675,not_applicable,[],[]
