parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
E-MM-CONVGAS-GASBOILER-PM25,工业源,采矿业和制造业,转炉煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-CONVGAS-GASBOILER-PM10,工业源,采矿业和制造业,转炉煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-CONVGAS-GASBOILER-BC,工业源,采矿业和制造业,转炉煤气,燃气锅炉,BC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-CONVGAS-GASBOILER-OC,工业源,采矿业和制造业,转炉煤气,燃气锅炉,OC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-OTHFGAS-GASBOILER-CO,工业源,采矿业和制造业,其它气体燃料,燃气锅炉,CO,constant,1.3,g/m3,,附录E 表E.7；气体单位按外部一致性解释,55
E-MM-OTHFGAS-GASBOILER-NOX,工业源,采矿业和制造业,其它气体燃料,燃气锅炉,NOX,constant,0.13,g/m3,,附录E 表E.7；气体单位按外部一致性解释,55
E-MM-OTHFGAS-GASBOILER-SO2,工业源,采矿业和制造业,其它气体燃料,燃气锅炉,SO2,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,55
E-MM-OTHFGAS-GASBOILER-VOCS,工业源,采矿业和制造业,其它气体燃料,燃气锅炉,VOCS,constant,0.05,g/m3,,附录E 表E.7；气体单位按外部一致性解释,55
E-MM-OTHFGAS-GASBOILER-PM25,工业源,采矿业和制造业,其它气体燃料,燃气锅炉,PM25,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,55
E-MM-OTHFGAS-GASBOILER-PM10,工业源,采矿业和制造业,其它气体燃料,燃气锅炉,PM10,constant,0.03,g/m3,,附录E 表E.7；气体单位按外部一致性解释,55
E-MM-OTHFGAS-GASBOILER-BC,工业源,采矿业和制造业,其它气体燃料,燃气锅炉,BC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,55
E-MM-OTHFGAS-GASBOILER-OC,工业源,采矿业和制造业,其它气体燃料,燃气锅炉,OC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,55
E-MM-CRUDE-OILBOILER-CO,工业源,采矿业和制造业,原油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录E 表E.7,55
E-MM-CRUDE-OILBOILER-NOX,工业源,采矿业和制造业,原油,燃油锅炉,NOX,constant,5.09,g/kg燃料,,附录E 表E.7,55
E-MM-CRUDE-OILBOILER-SO2,工业源,采矿业和制造业,原油,燃油锅炉,SO2,constant,0,g/kg燃料,,附录E 表E.7,55
E-MM-CRUDE-OILBOILER-VOCS,工业源,采矿业和制造业,原油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录E 表E.7,55
E-MM-CRUDE-OILBOILER-PM25,工业源,采矿业和制造业,原油,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录E 表E.7,55
E-MM-CRUDE-OILBOILER-PM10,工业源,采矿业和制造业,原油,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录E 表E.7,55
E-MM-CRUDE-OILBOILER-BC,工业源,采矿业和制造业,原油,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录E 表E.7,55
E-MM-CRUDE-OILBOILER-OC,工业源,采矿业和制造业,原油,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录E 表E.7,55
E-MM-GASOLINE-OILBOILER-CO,工业源,采矿业和制造业,汽油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录E 表E.7,55
E-MM-GASOLINE-OILBOILER-NOX,工业源,采矿业和制造业,汽油,燃油锅炉,NOX,constant,3.67,g/kg燃料,,附录E 表E.7,55
E-MM-GASOLINE-OILBOILER-SO2,工业源,采矿业和制造业,汽油,燃油锅炉,SO2,constant,0,g/kg燃料,,附录E 表E.7,55
E-MM-GASOLINE-OILBOILER-VOCS,工业源,采矿业和制造业,汽油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录E 表E.7,55
E-MM-GASOLINE-OILBOILER-PM25,工业源,采矿业和制造业,汽油,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录E 表E.7,55
E-MM-GASOLINE-OILBOILER-PM10,工业源,采矿业和制造业,汽油,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录E 表E.7,55
E-MM-GASOLINE-OILBOILER-BC,工业源,采矿业和制造业,汽油,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录E 表E.7,55
E-MM-GASOLINE-OILBOILER-OC,工业源,采矿业和制造业,汽油,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录E 表E.7,55
E-MM-KEROSENE-OILBOILER-CO,工业源,采矿业和制造业,煤油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录E 表E.7,55
E-MM-KEROSENE-OILBOILER-NOX,工业源,采矿业和制造业,煤油,燃油锅炉,NOX,constant,7.46,g/kg燃料,,附录E 表E.7,55
E-MM-KEROSENE-OILBOILER-SO2,工业源,采矿业和制造业,煤油,燃油锅炉,SO2,constant,0,g/kg燃料,,附录E 表E.7,55
E-MM-KEROSENE-OILBOILER-VOCS,工业源,采矿业和制造业,煤油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录E 表E.7,55
E-MM-KEROSENE-OILBOILER-PM25,工业源,采矿业和制造业,煤油,燃油锅炉,PM25,constant,0.9,g/kg燃料,,附录E 表E.7,55
E-MM-KEROSENE-OILBOILER-PM10,工业源,采矿业和制造业,煤油,燃油锅炉,PM10,constant,0.9,g/kg燃料,,附录E 表E.7,55
E-MM-KEROSENE-OILBOILER-BC,工业源,采矿业和制造业,煤油,燃油锅炉,BC,constant,0.01,g/kg燃料,,附录E 表E.7,55
E-MM-KEROSENE-OILBOILER-OC,工业源,采矿业和制造业,煤油,燃油锅炉,OC,constant,0.09,g/kg燃料,,附录E 表E.7,55
E-MM-DIESEL-OILBOILER-CO,工业源,采矿业和制造业,柴油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录E 表E.7,55
E-MM-DIESEL-OILBOILER-NOX,工业源,采矿业和制造业,柴油,燃油锅炉,NOX,constant,9.62,g/kg燃料,,附录E 表E.7,55
E-MM-DIESEL-OILBOILER-SO2,工业源,采矿业和制造业,柴油,燃油锅炉,SO2,constant,3,g/kg燃料,,附录E 表E.7,55
E-MM-DIESEL-OILBOILER-VOCS,工业源,采矿业和制造业,柴油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录E 表E.7,55
E-MM-DIESEL-OILBOILER-PM25,工业源,采矿业和制造业,柴油,燃油锅炉,PM25,constant,0.5,g/kg燃料,,附录E 表E.7,55
E-MM-DIESEL-OILBOILER-PM10,工业源,采矿业和制造业,柴油,燃油锅炉,PM10,constant,0.5,g/kg燃料,,附录E 表E.7,55
E-MM-DIESEL-OILBOILER-BC,工业源,采矿业和制造业,柴油,燃油锅炉,BC,constant,0.14,g/kg燃料,,附录E 表E.7,55
E-MM-DIESEL-OILBOILER-OC,工业源,采矿业和制造业,柴油,燃油锅炉,OC,constant,0.04,g/kg燃料,,附录E 表E.7,55
E-MM-FUELOIL-OILBOILER-CO,工业源,采矿业和制造业,燃料油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录E 表E.7,55
E-MM-FUELOIL-OILBOILER-NOX,工业源,采矿业和制造业,燃料油,燃油锅炉,NOX,constant,5.84,g/kg燃料,,附录E 表E.7,55
E-MM-FUELOIL-OILBOILER-SO2,工业源,采矿业和制造业,燃料油,燃油锅炉,SO2,constant,20,g/kg燃料,,附录E 表E.7,55
E-MM-FUELOIL-OILBOILER-VOCS,工业源,采矿业和制造业,燃料油,燃油锅炉,VOCS,constant,2.88,g/kg燃料,,附录E 表E.7,55
E-MM-FUELOIL-OILBOILER-PM25,工业源,采矿业和制造业,燃料油,燃油锅炉,PM25,constant,0.67,g/kg燃料,,附录E 表E.7,55
E-MM-FUELOIL-OILBOILER-PM10,工业源,采矿业和制造业,燃料油,燃油锅炉,PM10,constant,1.03,g/kg燃料,,附录E 表E.7,55
E-MM-FUELOIL-OILBOILER-BC,工业源,采矿业和制造业,燃料油,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录E 表E.7,55
E-MM-FUELOIL-OILBOILER-OC,工业源,采矿业和制造业,燃料油,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录E 表E.7,55
E-MM-OTHLIQ-OILBOILER-CO,工业源,采矿业和制造业,其它液体燃料,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录E 表E.7,55
E-MM-OTHLIQ-OILBOILER-NOX,工业源,采矿业和制造业,其它液体燃料,燃油锅炉,NOX,constant,5.84,g/kg燃料,,附录E 表E.7,55
E-MM-OTHLIQ-OILBOILER-SO2,工业源,采矿业和制造业,其它液体燃料,燃油锅炉,SO2,constant,0,g/kg燃料,,附录E 表E.7,55
E-MM-OTHLIQ-OILBOILER-VOCS,工业源,采矿业和制造业,其它液体燃料,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录E 表E.7,55
E-MM-OTHLIQ-OILBOILER-PM25,工业源,采矿业和制造业,其它液体燃料,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录E 表E.7,55
E-MM-OTHLIQ-OILBOILER-PM10,工业源,采矿业和制造业,其它液体燃料,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录E 表E.7,55
E-MM-OTHLIQ-OILBOILER-BC,工业源,采矿业和制造业,其它液体燃料,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录E 表E.7,55
E-MM-OTHLIQ-OILBOILER-OC,工业源,采矿业和制造业,其它液体燃料,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录E 表E.7,55
E-MM-ASPHALT-OILBOILER-CO,工业源,采矿业和制造业,石油沥青,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录E 表E.7,55
E-MM-ASPHALT-OILBOILER-NOX,工业源,采矿业和制造业,石油沥青,燃油锅炉,NOX,constant,5.84,g/kg燃料,,附录E 表E.7,55
E-MM-ASPHALT-OILBOILER-SO2,工业源,采矿业和制造业,石油沥青,燃油锅炉,SO2,constant,0,g/kg燃料,,附录E 表E.7,55
